 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.317446250E0,2.220563174E0,-4.847923574E-1,-1.383584394E0
6.342279250E0,-9.498041689E-2,1.165100696E0,-2.264114260E0
6.367117250E0,-1.053700420E0,2.462172172E0,-1.915726480E0
6.391950250E0,-3.904677057E-1,3.016300812E0,-1.318060934E0
6.416788250E0,1.044999763E0,4.525404315E-1,-6.247703147E-1
6.441621250E0,9.246611416E-2,2.612451169E-1,-8.190104333E-1
6.466459250E0,-8.362828159E-1,1.102586798E0,-1.253601813E0
6.491292875E0,1.212244749E-1,-1.321054123E-1,-1.296413957E0
6.516130875E0,2.833701038E-1,-1.158971864E0,2.293386152E-1
6.540963875E0,-7.644649744E-1,-1.908261340E0,6.065755337E-2
6.565801875E0,-3.621946639E-1,-2.919123597E0,4.672749764E-1
6.590634875E0,-7.188040674E-1,-2.269416077E0,2.831596041E-1
6.615472875E0,-1.082409080E0,-1.050933225E0,-3.833490130E-1
6.640305875E0,-6.199124479E-1,-1.547898024E0,-4.846678117E-1
6.665143875E0,-1.434976888E-1,-9.273324421E-1,3.674293837E-1
6.689976875E0,3.026039350E-1,-8.265302449E-2,4.291914761E-1
6.714814875E0,-1.316711104E-1,-1.829457099E-1,2.374510422E-1
6.739647875E0,-4.191553152E-1,-4.827987492E-1,-1.279171979E-1
6.764485875E0,5.137468922E-1,-8.948670928E-1,-3.707470939E-1
6.789318875E0,-6.717924535E-2,-8.194247085E-1,-8.958905017E-1
6.814156875E0,1.721668795E0,2.890144211E-1,-1.244309710E0
6.838989875E0,1.249962798E0,4.028123474E-1,-1.329480253E0
6.863827875E0,1.191859016E0,-9.249643198E-1,-1.386409914E0
6.888660875E0,2.087591059E0,-1.099095425E0,-6.592732725E-1
6.913498875E0,6.042063004E0,-4.190120584E-1,-2.495809157E0
6.938331875E0,5.558005934E0,-2.876805543E0,-1.215001711E-1
6.963169875E0,4.961391717E0,-3.096320836E0,8.634524882E-1
6.988002875E0,3.752499177E0,-3.114067428E0,1.121913746E0
7.012840875E0,3.657762589E0,-4.060463839E0,2.384182302E0
7.037673875E0,2.169279000E0,-6.188249243E0,3.492419995E0
7.062511875E0,3.746895790E-3,-9.375599824E0,2.639268254E0
7.087344875E0,1.711759518E0,-9.854845805E0,1.753090855E0
7.112182875E0,4.993061407E0,-6.007549229E-1,6.181079972E-1
7.137015875E0,3.917247986E0,4.333265978E0,-2.323157251E-1
7.161853875E0,2.320147689E0,4.363970584E0,-1.317569475E0
7.186686875E0,2.202009374E0,3.107417682E0,-2.707238628E0
7.211524875E0,2.182414770E0,2.206825726E0,-8.780846337E-1
7.236357875E0,1.659345077E0,2.231639263E0,-8.885054684E-1
7.261195875E0,5.014776796E-1,3.593402871E0,-9.994353354E-1
7.286028875E0,1.722630662E-1,4.647270814E0,-2.354612932E0
7.310867875E0,-1.833990884E0,5.170654210E0,-2.141577670E0
7.335699875E0,-2.072319885E0,5.276581199E0,-2.195007334E0
7.360538875E0,-1.677042845E0,4.714475495E0,-1.737039371E0
7.385370875E0,-2.126096728E0,4.529404687E0,-1.682277857E0
7.410209875E0,-3.011899613E0,4.693955861E0,-1.564092765E0
7.435041875E0,-3.313886082E0,4.695612962E0,-1.535569316E0
7.459880875E0,-3.744828215E0,4.741510096E0,-9.749412028E-1
7.484712042E0,-3.892065783E0,5.204042396E0,-9.421016318E-1
7.509551042E0,-2.708298143E0,3.674561932E0,1.484175360E-1
7.534383042E0,-1.928297701E0,2.002854379E0,-9.083889983E-1
7.559222042E0,-6.549618280E-1,-9.612959942E-1,4.160538789E-1
7.584054042E0,-3.277715206E-1,-3.276245508E0,1.123696196E0
7.608893042E0,-3.016870916E-1,-4.009058627E0,9.147686760E-1
7.633725042E0,-8.908361685E-1,-2.383246747E0,-1.812519908E-1
7.658564042E0,-1.332429589E0,2.366678077E-1,-8.589396071E-1
7.683396042E0,-9.375174147E-1,1.162615921E0,-6.806977630E-1
7.708235042E0,-1.034763628E0,3.419959544E0,-2.575813685E0
7.733067042E0,4.042440966E0,-2.808768803E0,2.027795677E0
7.757906042E0,7.250248032E0,-8.073175807E0,-1.013365742E0
7.782738042E0,4.362783015E-1,3.435174292E0,7.170955110E-1
7.807577042E0,-3.147511162E0,1.151187422E1,-4.949995494E-1
7.832409042E0,-1.216177586E0,4.866026261E0,-3.570043244E0
7.857248042E0,2.953220465E0,-8.040821993E-1,-3.894840579E-1
7.882080042E0,8.173770136E-1,-8.696125299E-1,-1.570066427E0
7.906919042E0,-6.307853454E-1,7.364372233E-1,-1.685381413E0
7.931751042E0,-8.363594145E-1,6.665855080E-1,-1.235579817E0
7.956590042E0,2.888009977E-1,7.320675990E-1,-3.216411535E-1
7.981422042E0,1.083758032E-1,4.990873379E-1,-4.439217818E-1
8.006261042E0,8.650370836E-2,1.050252171E0,9.797009826E-4
8.031093042E0,-4.646782279E-2,7.672162355E-1,-1.156538618E0
8.055932042E0,-1.420253599E-1,-2.013028242E-1,-5.792877477E-1
8.080764042E0,-7.342991889E-2,-7.217380540E-1,5.150198311E-2
8.105603042E0,2.933197260E-2,-5.502393651E-1,-3.914278185E-1
8.130435042E0,-3.778347963E-1,3.307103312E-1,-1.282266326E0
8.155274042E0,-2.437680817E-1,-1.242095516E-1,-5.590829864E-1
8.180106042E0,3.096071452E-1,-4.942207003E-1,-2.332968879E-1
8.204945042E0,-6.935674846E-2,-1.112526151E-1,2.550418058E-1
8.229777042E0,-1.831792331E-1,7.879766285E-2,-6.696231365E-3
8.254616042E0,1.640161532E-1,-9.914874344E-1,-1.639734685E-2
8.279448042E0,3.876592880E-1,-1.522907024E0,1.131950784E-1
8.304287042E0,2.472916138E-1,-4.320361465E-1,-8.895369172E-2
8.329119042E0,1.241948605E-1,-9.626043087E-1,7.995482683E-3
8.353958042E0,-2.443697602E-1,-1.870631145E0,-1.261332124E-2
8.378790042E0,2.570979792E-1,-1.753800707E0,1.841545486E-1
8.403629042E0,5.351284057E-1,-2.361582082E0,-3.668049011E-1
8.428461042E0,6.431703329E-1,-2.957878650E0,-6.760305154E-1
8.453300042E0,1.450742151E0,-3.514784133E0,-6.860567361E-1
8.478132792E0,1.677268547E0,-3.944642192E0,-6.860049883E-1
8.502970792E0,2.186913033E0,-5.532365309E0,2.819316888E-1
8.527803792E0,1.712254778E0,-6.493880281E0,1.503626123E-1
8.552641792E0,1.408995954E0,-6.841475033E0,1.187623293E0
8.577474792E0,1.780909275E0,-5.902310457E0,2.010286921E0
8.602312792E0,1.682466722E0,-3.444059721E0,4.009616744E0
8.627145792E0,6.251726031E-1,-3.510318614E0,3.971844023E0
8.651983792E0,-2.149489099E-1,-3.094809623E0,1.817343861E0
8.676816792E0,7.896916169E-1,-1.006280671E0,8.234576793E-1
8.701654792E0,3.798957059E0,2.569263926E0,-4.390311706E-1
8.726487792E0,3.974165368E0,3.768168545E0,-1.137727760E0
8.751325792E0,3.726417087E0,1.107749743E0,-2.724569775E0
8.776158792E0,3.096071452E0,1.451968604E0,-1.886965488E0
8.800996792E0,2.360065461E0,2.635582754E0,-2.239602878E0
8.825829792E0,1.241014220E0,3.453993848E0,-1.427587761E0
