"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.575946210E0,9.676574707E0,1.297209024E0,-6.255735755E-1
9.600946210E0,9.680164337E0,1.329512119E0,-5.835496187E-1
9.625946210E0,9.579665184E0,1.358225942E0,-5.153541565E-1
9.650946210E0,9.615557671E0,1.387089372E0,-5.847460628E-1
9.675946210E0,9.672985077E0,1.347458243E0,-6.231807470E-1
9.700946210E0,9.669396400E0,1.353440285E0,-6.399304867E-1
9.725946210E0,9.641879082E0,1.282852054E0,-5.835496187E-1
9.750946210E0,9.566504478E0,1.347458243E0,-5.560321808E-1
9.775946210E0,9.705288887E0,1.301994562E0,-5.596213937E-1
9.800946210E0,9.761520386E0,1.188335538E0,-4.818546474E-1
9.825946210E0,9.625128746E0,1.196710467E0,-5.165506005E-1
9.850946210E0,9.676574707E0,1.319940805E0,-6.518946290E-1
9.875946210E0,9.602396965E0,1.341476202E0,-6.865905523E-1
9.900946210E0,9.700503349E0,1.354636669E0,-6.279664040E-1
9.925946210E0,9.652647018E0,1.390678644E0,-5.847460628E-1
